,Lon_N,Lat_N,Lon_S,Lat_S
557,142.756,81.9642,218.242,-85.1374
558,142.757,81.9854,217.98,-85.1434
559,142.757,82.0065,217.719,-85.1493
560,142.759,82.0277,217.457,-85.1551
561,142.76,82.0489,217.194,-85.1609
562,142.761,82.07,216.931,-85.1666
563,142.763,82.0912,216.668,-85.1723
564,142.765,82.1124,216.404,-85.1779
565,142.768,82.1336,216.14,-85.1834
566,142.771,82.1549,215.876,-85.1889
567,142.774,82.1761,215.611,-85.1943
568,142.777,82.1973,215.346,-85.1996
569,142.78,82.2186,215.08,-85.2049
570,142.784,82.2399,214.814,-85.2102
571,142.788,82.2611,214.548,-85.2153
572,142.793,82.2824,214.281,-85.2204
573,142.798,82.3037,214.014,-85.2254
574,142.803,82.325,213.746,-85.2304
575,142.808,82.3464,213.479,-85.2353
576,142.814,82.3677,213.21,-85.2401
577,142.82,82.389,212.942,-85.2449
578,142.826,82.4104,212.673,-85.2496
579,142.833,82.4317,212.404,-85.2542
580,142.839,82.4531,212.134,-85.2588
581,142.847,82.4745,211.865,-85.2633
582,142.854,82.4958,211.594,-85.2678
583,142.862,82.5172,211.324,-85.2722
584,142.871,82.5386,211.053,-85.2765
585,142.879,82.5601,210.782,-85.2808
586,142.888,82.5815,210.511,-85.2849
587,142.897,82.6029,210.239,-85.289
588,142.907,82.6243,209.967,-85.2931
589,142.917,82.6458,209.695,-85.2971
590,142.928,82.6672,209.422,-85.301
591,142.938,82.6887,209.149,-85.3048
592,142.95,82.7102,208.876,-85.3086
593,142.961,82.7317,208.603,-85.3123
594,142.973,82.7531,208.329,-85.316
595,142.985,82.7746,208.055,-85.3196
596,142.998,82.7961,207.781,-85.3231
597,143.011,82.8176,207.507,-85.3265
598,143.024,82.8392,207.232,-85.3299
599,143.038,82.8607,206.957,-85.3332
600,143.052,82.8822,206.683,-85.3364
601,143.067,82.9038,206.407,-85.3396
602,143.082,82.9253,206.132,-85.3427
603,143.098,82.9469,205.856,-85.3457
604,143.114,82.9684,205.58,-85.3487
605,143.13,82.99,205.304,-85.3516
606,143.147,83.0116,205.028,-85.3544
607,143.164,83.0331,204.752,-85.3571
608,143.182,83.0547,204.475,-85.3598
609,143.2,83.0763,204.199,-85.3624
610,143.218,83.0979,203.922,-85.365
611,143.237,83.1195,203.645,-85.3674
612,143.257,83.1411,203.368,-85.3698
613,143.277,83.1627,203.091,-85.3722
