,Lon_N,Lat_N,Lon_S,Lat_S
599,131.688,83.2905,207.484,-84.3919
600,131.651,83.3148,207.24,-84.3928
601,131.615,83.3392,206.996,-84.3937
602,131.58,83.3636,206.751,-84.3945
603,131.544,83.388,206.507,-84.3952
604,131.508,83.4125,206.263,-84.3959
605,131.473,83.437,206.019,-84.3965
606,131.437,83.4614,205.775,-84.397
607,131.402,83.4859,205.53,-84.3975
608,131.367,83.5105,205.286,-84.3979
609,131.332,83.535,205.042,-84.3982
610,131.297,83.5596,204.798,-84.3984
611,131.262,83.5842,204.554,-84.3986
612,131.227,83.6087,204.309,-84.3987
613,131.193,83.6334,204.065,-84.3988
614,131.159,83.658,203.821,-84.3988
615,131.124,83.6827,203.577,-84.3987
616,131.09,83.7073,203.333,-84.3986
617,131.056,83.732,203.089,-84.3984
618,131.022,83.7568,202.846,-84.3981
619,130.989,83.7815,202.602,-84.3978
620,130.955,83.8062,202.358,-84.3973
621,130.922,83.831,202.114,-84.3969
622,130.889,83.8558,201.871,-84.3963
623,130.856,83.8806,201.627,-84.3957
624,130.823,83.9054,201.384,-84.395
625,130.79,83.9303,201.141,-84.3943
626,130.758,83.9551,200.897,-84.3935
627,130.726,83.98,200.654,-84.3926
628,130.694,84.0049,200.411,-84.3916
629,130.662,84.0298,200.168,-84.3906
630,130.63,84.0547,199.925,-84.3896
631,130.598,84.0797,199.683,-84.3884
632,130.567,84.1047,199.44,-84.3872
633,130.536,84.1297,199.198,-84.3859
634,130.505,84.1547,198.956,-84.3846
635,130.474,84.1797,198.713,-84.3832
636,130.444,84.2047,198.471,-84.3817
637,130.414,84.2298,198.229,-84.3801
638,130.383,84.2549,197.988,-84.3785
639,130.354,84.28,197.746,-84.3769
640,130.324,84.3051,197.505,-84.3751
641,130.295,84.3302,197.263,-84.3733
642,130.266,84.3553,197.022,-84.3715
643,130.237,84.3805,196.781,-84.3695
644,130.208,84.4057,196.541,-84.3675
645,130.18,84.4309,196.3,-84.3655
646,130.151,84.4561,196.06,-84.3633
647,130.124,84.4813,195.82,-84.3611
648,130.096,84.5066,195.579,-84.3589
649,130.069,84.5319,195.34,-84.3566
650,130.042,84.5571,195.1,-84.3542
651,130.015,84.5824,194.861,-84.3517
652,129.988,84.6077,194.621,-84.3492
653,129.962,84.6331,194.382,-84.3466
654,129.936,84.6584,194.144,-84.344
655,129.911,84.6838,193.905,-84.3413
656,129.885,84.7092,193.667,-84.3385
657,129.86,84.7346,193.429,-84.3357
658,129.836,84.76,193.191,-84.3328
659,129.811,84.7854,192.953,-84.3298
660,129.787,84.8109,192.716,-84.3268
661,129.764,84.8363,192.479,-84.3237
662,129.74,84.8618,192.242,-84.3205
663,129.717,84.8873,192.005,-84.3173
664,129.695,84.9128,191.769,-84.314
