Lon_euro,Lon_efp,Lat_efp
94.3000,71.9394,-63.1762
94.4000,72.0079,-63.1814
94.5000,72.0763,-63.1867
94.6000,72.1448,-63.1920
94.7000,72.2133,-63.1973
94.8000,72.2818,-63.2026
94.9000,72.3503,-63.2080
95.0000,72.4188,-63.2133
95.1000,72.4873,-63.2187
95.2000,72.5558,-63.2241
95.3000,72.6244,-63.2296
95.4000,72.6929,-63.2350
95.5000,72.7614,-63.2405
95.6000,72.83,-63.2460
95.7000,72.8986,-63.2515
95.8000,72.9672,-63.2570
95.9000,73.0358,-63.2625
96.0000,73.1043,-63.2681
96.1000,73.173,-63.2737
96.2000,73.2416,-63.2793
96.3000,73.3102,-63.2849
96.4000,73.3788,-63.2906
96.5000,73.4475,-63.2962
96.6000,73.5161,-63.3019
96.7000,73.5848,-63.3076
96.8000,73.6535,-63.3133
96.9000,73.7222,-63.3191
97.0000,73.7909,-63.3248
97.1000,73.8596,-63.3306
97.2000,73.9283,-63.3364
97.3000,73.997,-63.3423
97.4000,74.0657,-63.3481
97.5000,74.1345,-63.3540
97.6000,74.2032,-63.3599
97.7000,74.272,-63.3658
97.8000,74.3407,-63.3717
97.9000,74.4095,-63.3777
98.0000,74.4783,-63.3837
98.1000,74.5471,-63.3896
98.2000,74.6159,-63.3957
98.3000,74.6847,-63.4017
98.4000,74.7535,-63.4078
98.5000,74.8224,-63.4139
98.6000,74.8912,-63.4200
98.7000,74.9601,-63.4261
98.8000,75.0289,-63.4322
98.9000,75.0978,-63.4384
99.0000,75.1667,-63.4446
99.1000,75.2355,-63.4508
99.2000,75.3044,-63.4570
99.3000,75.3733,-63.4633
99.4000,75.4423,-63.4696
99.5000,75.5112,-63.4759
99.6000,75.5801,-63.4822
99.7000,75.649,-63.4886
99.8000,75.718,-63.4950
99.9000,75.787,-63.5013
100.000,75.8559,-63.5078
100.100,75.9249,-63.5142
100.200,75.9939,-63.5207
100.300,76.0629,-63.5272
100.400,76.1319,-63.5337
100.500,76.2009,-63.5402
100.600,76.2699,-63.5468
100.700,76.3389,-63.5533
