Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
251.7,264,-72.921,251.7,212.997,59.9962
251.8,264.12,-72.907,251.8,213.071,60.0156
251.9,264.239,-72.8931,251.9,213.145,60.035
252,264.359,-72.8791,252,213.219,60.0544
252.1,264.479,-72.8651,252.1,213.293,60.0738
252.2,264.598,-72.8511,252.2,213.367,60.0932
252.3,264.718,-72.8371,252.3,213.441,60.1126
252.4,264.837,-72.8231,252.4,213.516,60.132
252.5,264.956,-72.8091,252.5,213.59,60.1514
252.6,265.076,-72.795,252.6,213.665,60.1708
252.7,265.195,-72.781,252.7,213.74,60.1903
252.8,265.314,-72.7669,252.8,213.815,60.2097
252.9,265.434,-72.7528,252.9,213.89,60.2291
253,265.553,-72.7388,253,213.965,60.2486
253.1,265.672,-72.7248,253.1,214.04,60.268
253.2,265.791,-72.7107,253.2,214.116,60.2875
253.3,265.91,-72.6966,253.3,214.192,60.3069
253.4,266.029,-72.6824,253.4,214.267,60.3264
253.5,266.148,-72.6683,253.5,214.343,60.3459
253.6,266.267,-72.6543,253.6,214.419,60.3653
253.7,266.386,-72.64,253.7,214.495,60.3848
253.8,266.505,-72.6259,253.8,214.572,60.4043
253.9,266.624,-72.6118,253.9,214.648,60.4238
254,266.743,-72.5977,254,214.725,60.4432
254.1,266.861,-72.5834,254.1,214.801,60.4627
254.2,266.98,-72.5692,254.2,214.878,60.4822
254.3,267.099,-72.555,254.3,214.955,60.5017
254.4,267.217,-72.5408,254.4,215.033,60.5212
254.5,267.336,-72.5268,254.5,215.11,60.5407
254.6,267.454,-72.5125,254.6,215.187,60.5602
254.7,267.573,-72.4983,254.7,215.265,60.5797
254.8,267.691,-72.484,254.8,215.343,60.5992
254.9,267.81,-72.4699,254.9,215.42,60.6188
255,267.928,-72.4557,255,215.498,60.6383
255.1,268.046,-72.4414,255.1,215.576,60.6578
255.2,268.164,-72.4273,255.2,215.655,60.6773
255.3,268.283,-72.4129,255.3,215.733,60.6969
255.4,268.401,-72.3985,255.4,215.812,60.7164
255.5,268.519,-72.3843,255.5,215.89,60.7359
255.6,268.637,-72.3702,255.6,215.969,60.7555
255.7,268.755,-72.356,255.7,216.048,60.775
255.8,268.873,-72.3416,255.8,216.127,60.7946
255.9,268.991,-72.3272,255.9,216.207,60.8141
256,269.109,-72.3131,256,216.286,60.8336
256.1,269.226,-72.2985,256.1,216.366,60.8532
256.2,269.344,-72.2846,256.2,216.446,60.8728
256.3,269.462,-72.27,256.3,216.525,60.8923
256.4,269.579,-72.2555,256.4,216.605,60.9119
256.5,269.697,-72.2402,256.5,216.686,60.9314
256.6,269.815,-72.2266,256.6,216.766,60.951
256.7,269.932,-72.2088,256.7,216.846,60.9706
256.8,-89.9505,-72.1979,256.8,216.927,60.9902
256.9,-89.8331,-72.1843,256.9,217.008,61.0097
257,-89.7158,-72.1698,257,217.089,61.0293
257.1,-89.5985,-72.1555,257.1,217.17,61.0489
257.2,-89.4812,-72.1412,257.2,217.251,61.0685
257.3,-89.3641,-72.1269,257.3,217.332,61.0881
257.4,-89.247,-72.1124,257.4,217.414,61.1076
257.5,-89.1299,-72.0982,257.5,217.496,61.1273
257.6,-89.0129,-72.0838,257.6,217.578,61.1468
257.7,-88.8959,-72.0694,257.7,217.66,61.1664
257.8,-88.7791,-72.0551,257.8,217.742,61.186
257.9,-88.6623,-72.0407,257.9,217.824,61.2056
258,-88.5455,-72.0263,258,217.906,61.2252
258.1,-88.4287,-72.0119,258.1,217.989,61.2448
258.2,-88.312,-71.9975,258.2,218.072,61.2644
258.3,-88.1955,-71.9832,258.3,218.155,61.284
258.4,-88.0789,-71.9687,258.4,218.238,61.3037
258.5,-87.9625,-71.9544,258.5,218.321,61.3233
258.6,-87.846,-71.94,258.6,218.404,61.3429
258.7,-87.7296,-71.9256,258.7,218.488,61.3625
258.8,-87.6134,-71.9112,258.8,218.572,61.3821
258.9,-87.4971,-71.8968,258.9,218.655,61.4018
259,-87.3809,-71.8824,259,218.739,61.4214
259.1,-87.2648,-71.868,259.1,218.824,61.441
259.2,-87.1487,-71.8536,259.2,218.908,61.4606
259.3,-87.0327,-71.8392,259.3,218.992,61.4803
259.4,-86.9168,-71.8248,259.4,219.077,61.4999
259.5,-86.8009,-71.8104,259.5,219.162,61.5195
259.6,-86.6851,-71.796,259.6,219.247,61.5392
259.7,-86.5693,-71.7816,259.7,219.332,61.5588
259.8,-86.4536,-71.7672,259.8,219.417,61.5784
259.9,-86.338,-71.7528,259.9,219.503,61.5981
260,-86.2225,-71.7384,260,219.588,61.6177
260.1,-86.107,-71.724,260.1,219.674,61.6374
260.2,-85.9915,-71.7096,260.2,219.76,61.657
260.3,-85.8762,-71.6952,260.3,219.846,61.6767
260.4,-85.7609,-71.6808,260.4,219.932,61.6963
260.5,-85.6457,-71.6664,260.5,220.019,61.716
260.6,-85.5305,-71.652,260.6,220.105,61.7356
260.7,-85.4154,-71.6376,260.7,220.192,61.7553
260.8,-85.3004,-71.6232,260.8,220.279,61.7749
260.9,-85.1855,-71.6088,260.9,220.366,61.7946
261,-85.0706,-71.5944,261,220.453,61.8142
261.1,-84.9557,-71.58,261.1,220.541,61.8339
261.2,-84.841,-71.5656,261.2,220.628,61.8535
261.3,-84.7263,-71.5512,261.3,220.716,61.8732
261.4,-84.6117,-71.5368,261.4,220.804,61.8929
261.5,-84.4972,-71.5224,261.5,220.892,61.9125
261.6,-84.3827,-71.508,261.6,220.98,61.9322
261.7,-84.2683,-71.4936,261.7,221.069,61.9519
261.8,-84.154,-71.4792,261.8,221.157,61.9715
261.9,-84.0397,-71.4649,261.9,221.246,61.9912
262,-83.9255,-71.4505,262,221.335,62.0108
262.1,-83.8114,-71.4361,262.1,221.424,62.0305
262.2,-83.6974,-71.4217,262.2,221.513,62.0502
262.3,-83.5834,-71.4073,262.3,221.602,62.0699
262.4,-83.4696,-71.393,262.4,221.692,62.0895
262.5,-83.3557,-71.3786,262.5,221.782,62.1092
262.6,-83.242,-71.3642,262.6,221.871,62.1289
262.7,-83.1283,-71.3499,262.7,221.961,62.1485
262.8,-83.0147,-71.3355,262.8,222.052,62.1682
262.9,-82.9012,-71.3212,262.9,222.142,62.1879
263,-82.7878,-71.3068,263,222.233,62.2075
263.1,-82.6744,-71.2925,263.1,222.323,62.2272
263.2,-82.5611,-71.2781,263.2,222.414,62.2469
263.3,-82.4479,-71.2638,263.3,222.505,62.2665
263.4,-82.3348,-71.2494,263.4,222.596,62.2862
263.5,-82.2218,-71.2351,263.5,222.688,62.3059
263.6,-82.1088,-71.2208,263.6,222.779,62.3255
263.7,-81.9959,-71.2064,263.7,222.871,62.3452
263.8,-81.8831,-71.1921,263.8,222.963,62.3649
263.9,-81.7704,-71.1778,263.9,223.055,62.3845
264,-81.6577,-71.1635,264,223.147,62.4042
264.1,-81.5451,-71.1492,264.1,223.24,62.4239
264.2,-81.4326,-71.1349,264.2,223.332,62.4435
264.3,-81.3203,-71.1206,264.3,223.425,62.4632
264.4,-81.2079,-71.1063,264.4,223.518,62.4828
264.5,-81.0957,-71.092,264.5,223.611,62.5025
264.6,-80.9835,-71.0777,264.6,223.704,62.5222
264.7,-80.8714,-71.0635,264.7,223.798,62.5418
264.8,-80.7595,-71.0492,264.8,223.891,62.5615
264.9,-80.6476,-71.0349,264.9,223.985,62.5811
